Date,Open,High,Low,Close
5/1/2023,29348.00,29482.00,27705.00,27705.00
4/30/2023,29296.00,30006.00,29156.00,29348.00
4/29/2023,29350.00,29537.00,29123.00,29296.00
4/28/2023,29596.00,29782.00,28934.00,29350.00
4/27/2023,28289.00,29856.00,28152.00,29596.00
4/26/2023,27991.00,29963.00,27419.00,28289.00
4/25/2023,27434.00,28043.00,27183.00,27991.00
4/24/2023,27509.00,27985.00,27039.00,27434.00
4/23/2023,27798.00,28003.00,27489.00,27509.00
4/22/2023,27299.00,27871.00,27263.00,27798.00
4/21/2023,28196.00,28352.00,27213.00,27299.00
4/20/2023,29269.00,29269.00,28068.00,28196.00
4/19/2023,30403.00,30405.00,29123.00,29269.00
4/18/2023,29478.00,30454.00,29171.00,30403.00
4/17/2023,30339.00,30410.00,29292.00,29474.00
4/16/2023,30375.00,30606.00,30236.00,30339.00
4/15/2023,30442.00,30691.00,30312.00,30375.00
4/14/2023,30311.00,30976.00,30052.00,30442.00
4/13/2023,29963.00,30557.00,29818.00,30311.00
4/12/2023,30173.00,30410.00,29739.00,29963.00
4/11/2023,29111.00,30488.00,29089.00,30173.00
4/10/2023,28108.00,29258.00,28108.00,29111.00
4/9/2023,27961.00,28298.00,27899.00,28108.00
4/8/2023,27855.00,28188.00,27847.00,27961.00
4/7/2023,27982.00,28103.00,27801.00,27855.00
4/6/2023,28185.00,28230.00,27778.00,27982.00
4/5/2023,28266.00,28722.00,27826.00,28185.00
4/4/2023,27577.00,28427.00,27337.00,28266.00
4/3/2023,28089.00,28463.00,27573.00,27573.00
4/2/2023,28467.00,28570.00,27953.00,28089.00
4/1/2023,28392.00,28815.00,28316.00,28467.00
3/31/2023,28164.00,28654.00,27554.00,28392.00
3/30/2023,28385.00,29140.00,27770.00,28154.00
3/29/2023,27323.00,28612.00,27129.00,28385.00
3/28/2023,27041.00,27492.00,26674.00,27329.00
3/27/2023,27812.00,28133.00,26576.00,27041.00
3/26/2023,27387.00,28186.00,27384.00,27811.00
3/25/2023,27617.00,27806.00,27067.00,27387.00
3/24/2023,28312.00,28447.00,27548.00,27632.00
3/23/2023,27381.00,28732.00,27041.00,28312.00
3/22/2023,28117.00,28796.00,26700.00,27360.00
3/21/2023,28047.00,28462.00,27421.00,28117.00
3/20/2023,27963.00,28502.00,27201.00,28047.00
3/19/2023,27413.00,28432.00,26912.00,27963.00
3/18/2023,26791.00,27788.00,26791.00,27413.00
3/17/2023,24701.00,26991.00,24701.00,26791.00
3/16/2023,24369.00,25187.00,24215.00,24701.00
3/15/2023,24674.00,25260.00,23989.00,24371.00
3/14/2023,24126.00,26425.00,23951.00,24674.00
3/13/2023,21403.00,24538.00,21255.00,24126.00
3/12/2023,20453.00,21432.00,20392.00,21397.00
3/11/2023,20096.00,20784.00,19889.00,20453.00
3/10/2023,20244.00,20475.00,19594.00,20091.00
3/9/2023,22005.00,22005.00,20125.00,20244.00
3/8/2023,22050.00,22267.00,21883.00,22006.00
3/7/2023,22404.00,22529.00,21971.00,22050.00
3/6/2023,22482.00,22571.00,22313.00,22401.00
3/5/2023,22226.00,22633.00,22215.00,22482.00
3/4/2023,22246.00,22411.00,22170.00,22224.00
3/3/2023,23417.00,23549.00,22111.00,22246.00
3/2/2023,23542.00,23783.00,23219.00,23427.00
3/1/2023,23142.00,23942.00,23046.00,23542.00
2/28/2023,23386.00,23613.00,23056.00,23159.00
2/27/2023,23564.00,23869.00,23172.00,23386.00
2/26/2023,22951.00,23677.00,22931.00,23565.00
2/25/2023,23131.00,23241.00,22802.00,22951.00
2/24/2023,23897.00,24118.00,22934.00,23131.00
2/23/2023,23804.00,24592.00,23623.00,23897.00
2/22/2023,24183.00,24468.00,23604.00,23804.00
2/21/2023,24762.00,25147.00,24183.00,24183.00
2/20/2023,24544.00,25098.00,23896.00,24762.00
2/19/2023,24624.00,25175.00,24308.00,24544.00
2/18/2023,24593.00,24839.00,24116.00,24624.00
2/17/2023,24520.00,24987.00,23382.00,24593.00
2/16/2023,24173.00,25193.00,24145.00,24520.00
2/15/2023,22251.00,24189.00,22066.00,24173.00
2/14/2023,21624.00,22304.00,21611.00,22251.00
2/13/2023,21739.00,21894.00,21437.00,21621.00
2/12/2023,21829.00,22086.00,21714.00,21739.00
2/11/2023,21543.00,21839.00,21527.00,21829.00
2/10/2023,21841.00,21940.00,21507.00,21543.00
2/9/2023,22960.00,22999.00,21757.00,21841.00
2/8/2023,23191.00,23405.00,22711.00,22960.00
2/7/2023,22918.00,23297.00,22650.00,23201.00
2/6/2023,22896.00,23150.00,22643.00,22918.00
2/5/2023,23417.00,23452.00,22782.00,22896.00
2/4/2023,23380.00,23575.00,23278.00,23417.00
2/3/2023,23598.00,23706.00,23244.00,23387.00
2/2/2023,23678.00,24205.00,23581.00,23598.00
2/1/2023,22950.00,23789.00,22820.00,23678.00
1/31/2023,22743.00,23182.00,22549.00,22950.00
1/30/2023,23792.00,23870.00,22644.00,22732.00
1/29/2023,23005.00,23940.00,22975.00,23792.00
1/28/2023,23097.00,23184.00,22900.00,23005.00
1/27/2023,23072.00,23478.00,22587.00,23097.00
1/26/2023,23576.00,23762.00,22856.00,23068.00
1/25/2023,22903.00,23641.00,22358.00,23576.00
1/24/2023,22989.00,23158.00,22783.00,22900.00
1/23/2023,22599.00,23137.00,22550.00,22989.00
1/22/2023,23199.00,23215.00,22357.00,22579.00
1/21/2023,22336.00,23318.00,22328.00,23199.00
1/20/2023,20941.00,22387.00,20887.00,22336.00
1/19/2023,20772.00,21162.00,20659.00,20941.00
1/18/2023,21330.00,21532.00,20502.00,20775.00
1/17/2023,21130.00,21427.00,20906.00,21330.00
1/16/2023,20898.00,21413.00,20700.00,21129.00
1/15/2023,20900.00,21066.00,20577.00,20898.00
1/14/2023,19818.00,21204.00,19751.00,20888.00
1/13/2023,18836.00,19866.00,18727.00,19818.00
1/12/2023,17556.00,19051.00,17517.00,18822.00
1/11/2023,17475.00,17570.00,17323.00,17556.00
1/10/2023,17190.00,17489.00,17134.00,17475.00
1/9/2023,16955.00,17399.00,16952.00,17190.00
1/8/2023,16943.00,17007.00,16913.00,16953.00
1/7/2023,16929.00,16981.00,16909.00,16943.00
1/6/2023,16846.00,17002.00,16698.00,16929.00
1/5/2023,16821.00,16846.00,16771.00,16846.00
1/4/2023,16667.00,16980.00,16641.00,16820.00
1/3/2023,16725.00,16799.00,16609.00,16667.00
1/2/2023,16591.00,16758.00,16544.00,16725.00
1/1/2023,16549.00,16617.00,16491.00,16591.00
12/31/2022,16576.00,16634.00,16541.00,16549.00
12/30/2022,16599.00,16644.00,16340.00,16576.00
12/29/2022,16517.00,16656.00,16478.00,16599.00
12/28/2022,16698.00,16759.00,16478.00,16517.00
12/27/2022,16821.00,16957.00,16603.00,16698.00
12/26/2022,16823.00,16910.00,16794.00,16821.00
12/25/2022,16836.00,16863.00,16744.00,16823.00
12/24/2022,16815.00,16865.00,16765.00,16836.00
12/23/2022,16791.00,16900.00,16769.00,16815.00
12/22/2022,16790.00,16862.00,16569.00,16791.00
12/21/2022,16883.00,16923.00,16729.00,16790.00
12/20/2022,16583.00,17023.00,16300.00,16883.00
12/19/2022,16750.00,16820.00,16499.00,16583.00
12/18/2022,16709.00,16796.00,16671.00,16750.00
12/17/2022,16835.00,16869.00,16534.00,16709.00
12/16/2022,17384.00,17524.00,16754.00,16835.00
12/15/2022,17818.00,17861.00,17340.00,17384.00
12/14/2022,17764.00,18338.00,17698.00,17818.00
12/13/2022,17153.00,17889.00,17094.00,17764.00
12/12/2022,17109.00,17191.00,16884.00,17153.00
12/11/2022,17129.00,17258.00,17093.00,17109.00
12/10/2022,17109.00,17219.00,17106.00,17129.00
12/9/2022,17178.00,17274.00,17077.00,17109.00
12/8/2022,16833.00,17288.00,16763.00,17178.00
12/7/2022,16994.00,17125.00,16692.00,16833.00
12/6/2022,16970.00,17092.00,16920.00,16994.00
12/5/2022,17113.00,17416.00,16890.00,16970.00
12/4/2022,16957.00,17151.00,16876.00,17113.00
12/3/2022,17016.00,17133.00,16907.00,16957.00
12/2/2022,16931.00,17098.00,16859.00,17016.00
